experiment,description,lr,lambda_dynamic,lambda_modal,fusion_alpha,HR@5,HR@10,HR@20,NDCG@5,NDCG@10,NDCG@20,MRR,Mean_Rank,elapsed_time
PMAT-Full,完整PMAT-SASRec (基线),0.001,0.0005,0.7,0.7,0.0926704540848732,0.1165909081697464,0.14835227131843567,0.07280235588550568,0.08063972517848014,0.08892292454838753,0.07473553419113159,2743.586865234375,429.96773648262024
PMAT-w/o-Dynamic,去掉动态嵌入（使用静态嵌入）,0.001,0.0,0.7,0.7,0.0926704540848732,0.1165909081697464,0.14835227131843567,0.07280235588550568,0.08063972517848014,0.08892292454838753,0.07473553419113159,2743.589990234375,381.8100092411041
PMAT-w/o-Modal,去掉模态熵损失,0.001,0.0005,0.0,0.7,0.0864204540848732,0.09681818187236786,0.1259659081697464,0.06262556686997414,0.06601367741823197,0.07366888523101807,0.06129461079835892,2774.3166015625,482.66838335990906
PMAT-w/o-Fusion-Dynamic,纯动态特征,0.001,0.0005,0.7,1.0,0.06403409093618392,0.07340909093618393,0.0864204540848732,0.050417323410511014,0.05354694426059723,0.05679798126220703,0.04924636110663414,6168.60322265625,450.00463676452637
PMAT-w/o-Fusion-Modal,纯模态特征,0.001,0.0005,0.7,0.0,0.06403409093618392,0.08278409093618393,0.1114204540848732,0.04721702411770821,0.05331485867500305,0.060435587912797926,0.04923961088061333,3059.3615234375,359.17461943626404
PMAT-w/o-Both,去掉动态损失和模态损失,0.001,0.0,0.0,0.7,0.0864204540848732,0.09681818187236786,0.1259659081697464,0.06262556686997414,0.06601367741823197,0.07366888523101807,0.06129461079835892,2774.3166015625,353.01254177093506
PMAT-Full,完整PMAT-SASRec (基线),0.001,0.0005,0.7,0.7,0.10619318187236786,0.12545454502105713,0.1415909081697464,0.08062560930848121,0.08682154193520546,0.0908888779580593,0.07867169231176377,3096.235107421875,514.008829832077
PMAT-w/o-Dynamic,去掉动态嵌入（使用静态嵌入）,0.001,0.0,0.7,0.7,0.09005681872367859,0.11244318187236786,0.13795454502105714,0.06761880367994308,0.07502970919013023,0.08165633380413055,0.06830237358808518,2869.03916015625,351.44185996055603
PMAT-w/o-Modal,去掉模态熵损失,0.001,0.0005,0.0,0.7,0.0926704540848732,0.10880681872367859,0.11869318187236785,0.06984159350395203,0.07503271028399468,0.07763021513819694,0.06819922998547553,3325.04345703125,555.4950358867645
PMAT-w/o-Fusion-Dynamic,纯动态特征,0.001,0.0005,0.7,1.0,0.07965909093618392,0.0864204540848732,0.10255681872367858,0.0643760897219181,0.06642656177282333,0.07045615315437317,0.06234328895807266,5847.50087890625,542.5674459934235
PMAT-w/o-Fusion-Modal,纯模态特征,0.001,0.0005,0.7,0.0,0.06403409093618392,0.09215909093618393,0.12130681872367859,0.04751141741871834,0.056468595564365384,0.06380639597773552,0.05056373924016953,3318.712646484375,644.7108197212219
PMAT-w/o-Both,去掉动态损失和模态损失,0.001,0.0,0.0,0.7,0.0926704540848732,0.10880681872367859,0.11869318187236785,0.06984159350395203,0.07503271028399468,0.07763021513819694,0.06819922998547553,3325.04345703125,550.5167202949524
